"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1960633082999972195","Wed Aug 27 09:18:48 +0000 2025","0","Asiikkk literasi digital bikin generasi muda siap hadapi ancaman. Kita Nyaman Karena Aman https://t.co/C68Q8guwHz","1960633082999972195","","","in","","0","0","0","https://x.com/undefined/status/1960633082999972195","1908488972528975873",
"1960632677511409922","Wed Aug 27 09:17:11 +0000 2025","0","Beuh literasi digital akan semakin meningkat dengan adanya perlindungan ini. Kita Nyaman Karena Aman https://t.co/2v01o5GIGe","1960632677511409922","","","in","","0","0","0","https://x.com/undefined/status/1960632677511409922","1617209436",
"1960632489262608514","Wed Aug 27 09:16:26 +0000 2025","0","Wah keren! Literasi digital dan kolaborasi lintas sektor digelorakan Kita Nyaman Karena Aman https://t.co/4uIPvQVYAF","1960632489262608514","","","in","","0","0","0","https://x.com/undefined/status/1960632489262608514","1908518469815189504",
"1960614490514579846","Wed Aug 27 08:04:55 +0000 2025","0","Kepala Diskominfo Kabupaten Lumajang Mustaqim menegaskan bahwa literasi digital adalah bentuk edukasi yang sangat penting bagi masyarakat agar dapat memanfaatkan ruang siber secara cerdas aman dan produktif. Minggu (24/8/2025) baca selengkapnya: https://t.co/h8nlbxISXy https://t.co/rh24jjET8t","1960614490514579846","https://pbs.twimg.com/media/GzWAe9wa4AMaEy8.jpg","","in","","0","0","0","https://x.com/undefined/status/1960614490514579846","3346124654",
"1960613253832130905","Wed Aug 27 08:00:00 +0000 2025","0","Gubernur Lemhanas Ace Hasan Ingatkan Ancaman Disinformasi dan Pentingnya Literasi Digital https://t.co/lQyaGoRfvV","1960613253832130905","","","in","","0","0","1","https://x.com/undefined/status/1960613253832130905","1953620240",
"1960611603902292048","Wed Aug 27 07:53:27 +0000 2025","3","Hai #FIUtizen! Menjual rekening bukan hanya tindakan sembrono itu bisa menyeretmu ke dalam kejahatan finansial seperti pencucian uang dan penipuan online. Jaga identitas digitalmu pahami risikonya dan tingkatkan literasi keuangan digital agar tidak menjadi korban atau https://t.co/LovmkYUwyj","1960611603902292048","https://pbs.twimg.com/media/GzV92UIa4AABj3i.jpg","","in","","0","4","1","https://x.com/undefined/status/1960611603902292048","213523321",
"1960606032821981512","Wed Aug 27 07:31:19 +0000 2025","0","Semangat luar! Literasi digital bergulir keamanan digital makin kuat Kita Nyaman Karena Aman https://t.co/CO3oFWKVrI","1960606032821981512","","","in","","0","0","0","https://x.com/undefined/status/1960606032821981512","1942481027022381057",
"1960603806435303901","Wed Aug 27 07:22:29 +0000 2025","0","Algoritma + kurangnya literasi digital bikin provokasi lebih cepat viral daripada fakta. Baca selengkapnya https://t.co/w88zFWzyN3 #Hoaks #MediaSosial #LiterasiDigital #FacebookPro","1960603809396506654","","agus_syahari","in","","0","0","0","https://x.com/undefined/status/1960603809396506654","1516405177435422723",
"1960503599160811974","Wed Aug 27 07:03:23 +0000 2025","0","@kompascom Pak Wamen sudah mengingatkan literasi digital memang kunci di era sekarang.dan mmng platform Tiktok paling bnyk jd konten penyebar hoax. Fitnah dan kebencian di medsos itu bahaya laten perlahan bisa merusak persatuan bangsa . Waspada HOAX.!! https://t.co/ol2elqC9to","1960599003038671288","https://pbs.twimg.com/media/GzVyZyta4AIEFyH.jpg","kompascom","in","","0","1","0","https://x.com/undefined/status/1960599003038671288","1957195516200243200",
"1960597584164040759","Wed Aug 27 06:58:08 +0000 2025","0","Riduan Direktur Utama Bank Mandiri menegaskan: Pencapaian ini adalah hasil kerja kolektif. Mandiri akan terus mendukung pembangunan nasional dengan memperkuat UMKM memperluas literasi digital dan memastikan layanan finansial menjangkau seluruh masyarakat Indonesia. ","1960597682323644770","","withsocialclub","in","","0","0","0","https://x.com/undefined/status/1960597682323644770","1598927041784852480",
"1960597308808249690","Wed Aug 27 06:57:14 +0000 2025","0","Riduan Direktur Utama Bank Mandiri menegaskan: Pencapaian ini adalah hasil kerja kolektif. Mandiri akan terus mendukung pembangunan nasional dengan memperkuat UMKM memperluas literasi digital dan memastikan layanan finansial menjangkau seluruh masyarakat Indonesia. ","1960597457223737801","","lanydenah","in","","0","0","0","https://x.com/undefined/status/1960597457223737801","1763869734544801792",
